Data of Review,Rating (Out of 10)
2004-10-06 00:00:00,10
2019-06-11 00:00:00,10
2015-10-20 00:00:00,6
2005-11-24 00:00:00,6
2004-06-19 00:00:00,10
2005-02-20 00:00:00,10
2003-11-09 00:00:00,9
2006-03-28 00:00:00,10
2005-02-01 00:00:00,10
2004-09-25 00:00:00,10
2006-10-25 00:00:00,8
2006-01-10 00:00:00,9
2012-09-17 00:00:00,7
2005-07-16 00:00:00,10
2005-05-24 00:00:00,10
2005-02-02 00:00:00,10
2005-01-01 00:00:00,8
2013-10-31 00:00:00,4
2013-06-22 00:00:00,3
2005-06-18 00:00:00,10
2005-07-08 00:00:00,10
2005-05-10 00:00:00,10
2003-10-08 00:00:00,5
2005-06-27 00:00:00,10
2018-10-20 00:00:00,6
2006-01-11 00:00:00,10
2003-09-29 00:00:00,9
2003-04-17 00:00:00,4
2005-01-27 00:00:00,10
2004-05-08 00:00:00,10
2004-04-19 00:00:00,10
2003-12-20 00:00:00,10
2003-07-15 00:00:00,10
2010-04-17 00:00:00,10
2005-04-07 00:00:00,10
2005-03-21 00:00:00,10
2006-12-11 00:00:00,10
2005-09-10 00:00:00,9
2005-06-11 00:00:00,9
2004-11-09 00:00:00,8
2004-05-24 00:00:00,9
2004-02-10 00:00:00,9
2004-01-23 00:00:00,9
2004-01-18 00:00:00,9
2003-09-07 00:00:00,10
2003-09-01 00:00:00,10
2003-08-14 00:00:00,10
2002-10-31 00:00:00,10
2002-10-26 00:00:00,10
2002-08-29 00:00:00,10
2003-04-28 00:00:00,1
2004-08-13 00:00:00,1
2013-12-29 00:00:00,1
2006-09-07 00:00:00,5
2003-09-21 00:00:00,2
2017-08-18 00:00:00,10
2006-07-26 00:00:00,10
2006-01-30 00:00:00,9
2006-01-16 00:00:00,10
2005-06-05 00:00:00,10
2005-04-19 00:00:00,10
2005-02-22 00:00:00,10
2004-12-10 00:00:00,10
2004-01-29 00:00:00,9
2003-09-28 00:00:00,9
2003-08-01 00:00:00,9
2003-04-29 00:00:00,10
2002-10-31 00:00:00,10
2002-10-31 00:00:00,10
2002-10-28 00:00:00,10
2002-10-26 00:00:00,10
2002-10-27 00:00:00,10
2019-03-21 00:00:00,1
2006-07-07 00:00:00,6
2019-09-02 00:00:00,10
2019-08-05 00:00:00,10
2018-03-06 00:00:00,10
2017-08-26 00:00:00,10
2015-06-05 00:00:00,10
2010-03-11 00:00:00,10
2007-03-04 00:00:00,10
2006-12-30 00:00:00,10
2006-12-28 00:00:00,10
2006-11-14 00:00:00,9
2006-11-07 00:00:00,8
2006-10-23 00:00:00,10
2006-09-26 00:00:00,10
2006-09-10 00:00:00,10
2006-08-31 00:00:00,10
2006-08-26 00:00:00,7
2006-08-11 00:00:00,10
2006-08-04 00:00:00,10
2006-07-31 00:00:00,10
2006-07-22 00:00:00,10
2006-05-13 00:00:00,10
2006-04-25 00:00:00,10
2006-02-16 00:00:00,10
2006-01-04 00:00:00,10
2005-12-27 00:00:00,10
2005-10-14 00:00:00,10
2005-04-02 00:00:00,10
2005-03-15 00:00:00,10
2005-03-11 00:00:00,10
2004-11-07 00:00:00,10
2004-08-22 00:00:00,10
2004-07-06 00:00:00,10
2004-05-29 00:00:00,10
2004-05-02 00:00:00,10
2004-03-24 00:00:00,10
2004-01-29 00:00:00,10
2004-01-17 00:00:00,10
2003-12-07 00:00:00,8
